Original,Stemming,Lematización,¿Coinciden?
﻿The,﻿the,﻿the,True
Project,project,Project,True
Gutenberg,gutenberg,Gutenberg,True
eBook,ebook,eBook,True
of,of,of,True
Frankenstein,frankenstein,Frankenstein,True
or,or,or,True
the,the,the,True
modern,modern,modern,True
prometheus,prometheus,prometheus,True
This,this,this,True
eBook,ebook,eBook,True
is,is,be,False
for,for,for,True
the,the,the,True
use,use,use,True
of,of,of,True
anyone,anyon,anyone,False
anywhere,anywher,anywhere,False
in,in,in,True
the,the,the,True
United,unit,United,False
States,state,States,False
and,and,and,True
most,most,most,True
other,other,other,True
parts,part,part,True
of,of,of,True
the,the,the,True
world,world,world,True
at,at,at,True
no,no,no,True
cost,cost,cost,True
and,and,and,True
with,with,with,True
almost,almost,almost,True
no,no,no,True
restrictions,restrict,restriction,False
whatsoever,whatsoev,whatsoever,False
You,you,you,True
may,may,may,True
copy,copi,copy,False
it,it,it,True
give,give,give,True
it,it,it,True
away,away,away,True
or,or,or,True
re,re,re,True
use,use,use,True
it,it,it,True
under,under,under,True
the,the,the,True
terms,term,term,True
of,of,of,True
the,the,the,True
Project,project,Project,True
Gutenberg,gutenberg,Gutenberg,True
License,licens,License,False
included,includ,include,False
with,with,with,True
this,this,this,True
eBook,ebook,eBook,True
or,or,or,True
online,onlin,online,False
at,at,at,True
www.gutenberg.org,www.gutenberg.org,www.gutenberg.org,True
If,if,if,True
you,you,you,True
are,are,be,False
not,not,not,True
located,locat,locate,False
in,in,in,True
the,the,the,True
United,unit,United,False
States,state,States,False
you,you,you,True
will,will,will,True
have,have,have,True
to,to,to,True
check,check,check,True
the,the,the,True
laws,law,law,True
of,of,of,True
the,the,the,True
country,countri,country,False
where,where,where,True
you,you,you,True
are,are,be,False
located,locat,locate,False
before,befor,before,False
using,use,use,True
this,this,this,True
eBook,ebook,eBook,True
Title,titl,title,False
Frankenstein,frankenstein,Frankenstein,True
or,or,or,True
the,the,the,True
modern,modern,modern,True
prometheus,prometheus,prometheus,True
Author,author,author,True
Mary,mari,Mary,False
Wollstonecraft,wollstonecraft,Wollstonecraft,True
Shelley,shelley,Shelley,True
Release,releas,Release,False
date,date,date,True
October,octob,October,False
1,1,1,True
1993,1993,1993,True
eBook,ebook,ebook,True
